codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35238;Square Charles Dullin (côté rue du Général Nicolet);Aérien;Public;Viking renforcé;Béton;;OM-MM-VE;-1.68019908526193;48.0936837107975
35238;Square du Haut Blosne;Aérien;Privé;Claustra;Enrobé;;OM-MM;-1.69853489995242;48.0860128144134
35238;Rue de Gaulle Anthonioz;Aérien;Public;Sans;Béton;20090611;VE;-1.67595263047493;48.0937832324706
35238;6 Rue du Gros Chêne;Enterré;Public;Sans;Métal;;OM-MM;-1.66072493258763;48.1246559190196
35051;Face au centre commercial;Enterré;Public;Sans;Métal;20080325;MM-VE;-1.5996671951953;48.1219385163564
35238;21  rue Gustave Charpentier;Aérien;Public;Viking renforcé;Enrobé et gravier;;OM-MM;-1.65750118899791;48.1264764234516
35238;4  allée de Brno (parking);Aérien;Public;;;20080107;VE;-1.66315023648388;48.1279625390226
35066;LORMANDIERE  ROUTE A DROITE VERS BRUZ DEVANT CHAMPION;Aérien;Public;;;20080328;VE;-1.72728009664981;48.0506260935876
35238;BOULEVARD LEON GRIMAULT FACE ALLEE DU DANEMARK;Aérien;Public;;;20080523;VE;-1.64772115961747;48.091407833176
35051;5  rue des Myosotis;Enterré;Public;Sans;Métal;20100331;OM-MM;-1.62429437982644;48.1131546566506
35055;AVENUE DES DEUX RUISSEAUX;Aérien;Public;;;;OM-MM-VE;-1.62098584076742;48.0871172750042
35076;RUE DES VIEUX CHENES;Aérien;Public;;;;VE;-1.77904125800544;48.058099641462
35353;;Enterré;Public;Béton;Métal;20100310;OM-MM;-1.74691442081102;48.1129832545004
35238;35  avenue des Gayeulles;Aérien;Privé;Sans;Enrobé;;MM;-1.65225795664312;48.1314627521238
35238;Face au 35  avenue Gaston Berger;Aérien;Public;Sans;;20080226;VE;-1.70489238862418;48.1202499208921
35131;lotissement des communes ANGLE RUE ET ROUTE DE PACE;Aérien;Public;;;20100304;VE;-1.80630879047949;48.1262057233892
